param1,param2
3.63757,0.8006
8.18061,1.89168
4.76951,1.00455
2.94717,0.68342
4.73809,1.0586
3.14389,0.70631
3.11267,0.68128
5.51751,1.22666
4.98405,1.03216
4.55735,0.9611
3.45498,0.68581
3.11331,0.71256
5.62301,1.17318
2.18047,0.4767
4.95873,1.04928
4.58795,1.08083
5.83731,1.29029
3.65193,0.72826
4.1579,0.92811
6.56281,1.39205
11.089,2.25993
6.12644,1.45091
2.10733,0.42181
6.4233,1.54828
3.37015,0.64709
4.67404,0.97238
2.91081,0.72788
6.19642,1.06639
6.32835,1.40529
2.9166,0.75116
4.78919,1.13808
5.76222,1.38673
4.97128,1.10792
4.39982,1.08477
4.62167,0.91189
6.03811,1.30723
4.26525,0.88225
3.48117,0.84232
5.76152,1.34643
4.30279,0.86099
3.36688,0.6473
3.78591,0.82986
3.55246,0.79095
4.69909,1.09407
2.29474,0.49086
3.50341,0.76633
4.53991,1.00354
4.13109,0.81062
4.46221,1.14545
5.73256,0.96961
2.80964,0.67316
2.05883,0.36014
2.667,0.77026
2.26684,0.52846
8.78864,1.98619
4.87542,1.07451
2.69608,0.57516
3.01492,0.6455
4.27759,0.97284
6.50821,1.25315
3.76772,0.99891
4.44582,1.06873
2.91346,0.58727
7.97559,1.85426
2.97818,0.62919
3.2032,0.65151
3.62794,0.86865
5.94305,1.3849
6.59658,1.22806
2.92313,0.701
4.17215,0.97285
5.18631,1.17538
4.35268,0.77866
5.18341,1.10088
4.52261,1.24299
5.33188,1.45452
3.29499,0.59902
6.43012,1.32524
6.69044,1.44241
3.13204,0.63192
4.43559,0.9619
4.62295,0.97978
4.51256,0.89515
6.66191,1.50631
5.1044,1.19903
5.94956,1.27804
4.84472,1.0178
2.25773,0.41356
4.58445,0.80295
3.22954,0.71811
7.14665,1.57999
4.04556,0.91728
3.6343,0.75768
4.24409,0.95121
5.53434,0.99675
6.85765,1.4687
3.01517,0.67528
4.08554,0.97229
7.29961,1.535
5.20035,1.13059
6.24347,1.22501
3.52803,0.66803
2.21818,0.42929
4.0277,0.8682
5.26137,1.14285
4.24544,1.12368
4.83141,0.99843
4.12068,0.762
8.23294,1.83377
4.73541,0.92469
3.97478,1.03467
8.39045,1.8394
3.78468,0.72122
3.01985,0.50312
3.30966,0.72782
7.59279,1.73318
2.85839,0.50117
4.70783,1.25511
5.67409,1.20995
3.13844,0.67483
2.81645,0.64659
4.34636,0.9331
2.1875,0.5528
3.71555,1.0088
2.96399,0.75386
4.147,1.07257
8.89377,2.13626
7.29795,1.80761
7.91387,1.72481
6.17143,1.29919
3.58412,0.8324
10.3205,2.39519
2.35424,0.44426
6.83479,1.33421
4.33927,0.96064
4.04452,0.75971
3.2583,0.61124
6.10682,1.58425
4.12521,0.8504
3.92854,0.78196
4.8824,1.14997
3.09006,0.62627
6.15632,1.4154
3.69646,0.95665
4.95656,1.00685
4.58672,1.1589
4.12838,0.74466
2.42466,0.50532
3.77797,0.92729
5.28916,0.9443
5.83539,1.10607
4.19435,0.75323
2.47018,0.50904
5.05567,1.19399
2.24711,0.51053
2.94908,0.6251
2.54636,0.68045
6.37966,1.40058
7.11014,1.33933
5.26988,1.21368
6.76833,1.23902
6.11855,1.25472
4.34066,1.04907
4.95775,0.93304
4.25963,0.84507
3.9322,0.87858
5.34535,1.05993
4.69318,1.18964
3.28423,0.63952
4.87415,1.15545
3.30329,0.59916
3.53694,0.60206
5.76611,1.18852
5.30895,1.25755
9.99204,1.77339
3.00479,0.80864
4.5797,0.92955
4.78819,0.99032
4.37183,1.1681
2.17121,0.46003
6.68373,1.44487
3.98556,0.85082
5.05499,1.14833
2.7067,0.53778
3.42069,0.64502
4.06459,0.78563
9.70841,2.06724
8.0007,1.7063
2.34367,0.50473
4.9571,0.96821
4.22115,1.11396
5.40188,1.07192
3.34237,0.68914
4.17326,1.05777
4.02614,0.89589
5.01729,1.10713
5.62815,1.09131
4.18964,0.8659
4.78767,1.07185
5.10576,0.99622
5.44844,1.25045
5.33082,1.18301
4.08557,0.94123
4.38549,0.87935
4.54897,0.9257
4.8826,0.9421
4.21175,0.89172
5.50853,1.1386
8.79772,2.06607
5.40962,1.1636
4.20709,0.92481
5.09389,0.91179
3.15738,0.60836
4.99879,1.03529
5.18964,1.13126
5.12067,0.96692
4.8144,1.01895
7.07757,1.5315
3.92306,0.9007
4.93666,1.1866
4.00105,0.73062
4.43081,0.91741
5.94779,1.21817
7.18208,1.4257
2.92951,0.82046
3.97631,0.84484
4.82348,1.06311
6.79583,1.51248
5.82982,1.16818
4.35723,1.02087
6.26738,1.27178
3.94815,0.94927
4.8892,1.11401
4.41289,0.91583
5.926,1.18153
3.3944,0.7234
5.30536,0.93706
5.26767,1.20671
3.73632,0.68785
3.98376,0.75504
4.41101,1.09343
6.60266,1.5163
4.56572,1.09509
3.34326,0.61401
5.44636,1.06494
5.58644,1.18479
4.05575,0.78966
3.18399,0.73591
6.99343,1.60297
4.25316,0.86973
2.1115,0.38948
3.98768,0.98401
5.85969,1.4679
5.19708,0.9553
5.63415,1.29421
6.83253,1.52614
5.95078,1.12876
2.95868,0.87099
1.53788,0.33004
2.74249,0.75324
5.6927,0.99786
3.61417,0.80783
3.5174,0.66848
5.9727,1.45016
3.63308,0.83797
6.94272,1.35816
2.93753,0.77284
4.57601,0.78232
2.79355,0.54104
5.44882,0.94958
3.54282,0.93898
6.21136,1.20599
5.13545,1.1658
3.2302,0.74777
6.03801,1.3335
3.74351,0.91022
2.88336,0.61839
7.03209,1.46066
2.76296,0.71283
5.273,1.33966
5.92639,1.37862
4.75177,0.99996
9.63779,2.12988
3.1352,0.75562
8.68253,2.03028
2.54066,0.62261
9.57116,1.97283
5.93094,1.07936
4.33596,1.07291
7.56187,1.58574
2.82952,0.73345
3.53581,1.02082
5.84618,0.89941
2.05585,0.41388
3.34328,0.9186
4.49762,0.93845
3.8882,0.80929
4.39337,0.89881
6.41591,1.2
4.71814,0.95113
4.43166,0.83974
3.76183,0.8369
3.86186,0.88945
2.57894,0.64547
6.52032,1.44398
8.28857,1.88144
2.43006,0.48645
6.63492,1.3308
4.18892,0.89032
2.90044,0.63229
7.37108,1.53654
2.62062,0.59061
5.02363,0.86596
6.23714,1.46655
2.17048,0.47369
2.33569,0.58137
6.45805,1.4004
2.60043,0.50916
2.30744,0.48941
6.31822,1.37096
4.22098,0.73392
3.17328,0.67903
5.26029,1.09556
2.80903,0.49356
2.56758,0.47145
3.25769,0.55831
5.23518,0.75849
3.69287,0.93151
2.77433,0.53998
5.51254,1.28365
5.57219,1.14335
5.34246,1.19788
4.63273,0.92939
5.51324,1.23482
6.76953,1.4775
4.11825,0.92492
2.77507,0.65792
2.76425,0.65566
7.12074,1.48164
3.35723,0.75068
7.06774,1.33454
5.05799,1.05084
4.08089,0.84642
5.21667,1.11905
3.64544,0.70319
4.43083,1.09419
5.83709,1.37372
4.74958,1.14343
5.21591,1.17321
5.08003,0.99516
6.87547,1.59474
5.45299,1.47286
