param1,param2
3.98926,0.61887
3.55212,0.71669
4.95946,1.0374
3.79952,0.96377
3.2838,0.81668
4.69661,1.00712
6.18622,1.20649
5.26718,1.12778
5.61277,1.18782
5.06634,1.0287
4.67323,1.08555
2.91759,0.62251
3.60339,0.83525
5.42591,1.17546
6.0383,1.0693
5.33383,0.98515
5.0409,0.8444
3.03452,0.6519
6.92701,1.45914
6.79834,1.4723
2.71947,0.60158
5.86634,1.25774
7.61942,1.52104
4.52369,1.01151
3.66515,0.85728
9.07279,2.00393
6.07425,1.01349
10.3359,2.03678
2.12895,0.51648
10.1552,2.08601
6.20219,1.1574
2.67053,0.7193
2.92392,0.62786
3.55967,0.90386
4.94767,1.02853
5.1431,1.10611
4.30848,0.9694
5.97133,1.14362
3.46171,0.46081
4.12442,0.69504
8.06273,1.71039
3.52766,0.79189
5.08623,1.34944
3.0306,0.49608
2.43088,0.39963
2.12171,0.6347
2.76976,0.57166
2.32098,0.59304
2.17188,0.38527
5.08331,0.81872
1.94941,0.35896
3.77561,0.62951
3.66102,0.95757
2.54758,0.49589
3.6867,0.95108
3.95465,0.72769
6.64365,1.40706
4.05889,0.87316
5.09411,1.08182
3.0499,0.59246
4.30905,0.93985
4.29584,0.79394
4.34432,1.12506
5.35061,1.09591
4.53269,0.90264
4.86124,1.03654
5.34088,1.07311
3.1917,0.7775
6.49961,1.2819
5.62155,1.23936
5.42333,1.23473
4.24192,0.92239
4.48767,1.00538
8.42638,1.76995
3.39877,0.64428
8.0665,1.79243
3.45371,0.71939
7.00027,1.4332
4.48601,0.96505
8.17864,1.71808
11.0128,2.24875
4.19223,0.76384
8.18688,1.79485
2.64809,0.41201
1.86058,0.21628
2.66554,0.34034
2.28847,0.43077
6.80361,1.47574
6.11736,1.11408
6.02408,1.34918
3.60739,0.6428
4.3886,0.79662
4.85488,0.99915
2.49549,0.44181
3.39292,0.52119
5.47697,1.3188
6.26223,1.30785
5.96244,1.27533
4.21669,0.69256
3.6692,0.67339
4.07082,0.77594
3.10314,0.8347
3.26007,0.60642
6.07708,1.39224
4.44109,0.86824
2.87393,0.47
6.28486,1.57068
5.73904,1.17167
4.24702,0.79054
2.9758,0.64871
7.03468,1.33857
5.07659,0.94881
3.81841,0.65104
4.36571,0.9413
6.11768,1.33542
3.16853,0.66967
6.76553,1.51456
4.88706,0.87849
2.72524,0.56991
2.97849,0.52468
4.30879,0.94079
3.07046,0.5905
4.3097,1.03604
2.87317,0.54184
7.2078,1.74505
7.25583,1.65527
4.73439,0.88846
3.82042,0.83719
3.55654,0.84183
3.01885,0.64515
3.45032,0.68941
5.36247,1.14557
8.63455,1.58784
4.06268,0.98731
6.18422,1.12411
2.36891,0.53652
6.70993,1.44814
4.17424,0.88317
4.07875,0.92824
5.70828,1.1262
7.1314,1.50564
4.56437,0.95904
3.5447,0.65213
2.38221,0.66665
3.41099,0.92563
3.28397,0.59011
3.97808,0.79467
4.1508,0.92302
2.71762,0.59828
2.65731,0.58883
4.02639,0.8068
5.57737,0.93426
1.77866,0.38174
5.13463,1.23274
3.23833,0.66732
4.16431,0.70254
3.61788,0.74329
4.25208,1.00239
4.78996,1.03028
3.18351,0.62994
6.59138,1.54031
4.91323,0.97608
4.05726,0.88518
4.1919,0.80617
3.44215,0.66783
5.34331,1.21257
4.18727,0.75744
2.37026,0.45661
3.26498,0.56978
4.69555,0.84505
1.38268,0.20264
1.88222,0.27462
3.62009,0.72374
6.8588,1.49012
4.06666,0.84128
3.90491,0.61618
1.91785,0.30628
6.67173,1.37804
4.01809,0.95816
3.66944,0.72196
8.14267,1.86696
9.57024,2.09071
3.21235,0.65649
3.87954,0.84736
5.27638,1.09893
3.49405,0.71372
5.24985,1.08776
3.22122,0.85761
8.46116,1.82883
3.07663,0.73684
3.53233,0.78699
4.728,1.03357
4.61358,0.95739
4.05177,0.96608
5.35237,1.28064
3.58921,0.68928
4.66843,1.14366
7.72902,1.44551
2.27179,0.47532
4.69296,1.10458
4.96952,1.09419
4.8647,0.89485
2.99209,0.59983
1.78734,0.40334
2.38843,0.53412
7.28308,1.54131
4.01102,0.72584
4.16402,0.79271
3.6266,0.69892
2.49579,0.44072
4.15682,0.80886
7.6852,1.52952
4.07454,0.87074
4.11147,0.8393
4.53084,1.07054
2.28074,0.46993
4.97351,1.19538
3.05845,0.61683
5.84756,1.30865
3.99537,0.7934
7.90655,1.78163
3.44288,0.65067
5.73202,1.10058
3.08998,0.68684
7.90112,1.54901
7.4528,1.50485
3.89071,0.96005
2.24509,0.46115
4.40682,1.10711
2.49978,0.54669
2.68439,0.68597
5.30605,1.2472
3.62663,0.75046
5.72726,1.30877
2.84829,0.55102
5.77189,1.05903
2.4942,0.37862
6.18671,1.72484
4.25656,0.82247
3.37489,0.57149
2.37999,0.39508
3.79535,0.7376
4.48297,1.05322
6.53213,1.4091
7.27695,1.60202
2.84684,0.65596
8.21674,1.65519
3.62833,0.74847
3.55863,0.85383
2.7675,0.62736
6.47195,1.45926
6.03629,1.32559
4.36278,0.86647
2.96956,0.59476
3.58902,0.73962
3.13041,0.6177
3.73754,0.64929
3.77477,0.74266
3.42813,0.78062
6.42035,1.30398
4.37044,0.95303
5.72753,1.22846
3.6356,0.75118
7.171,1.71966
2.97197,0.45017
5.89849,1.53717
3.0307,0.48424
8.47148,2.10315
1.97343,0.23067
1.98976,0.32067
3.62515,0.83041
5.06804,0.90777
4.06597,1.01577
6.1433,1.13041
5.18756,0.92043
6.51612,1.28472
5.4057,1.21124
2.73178,0.5257
2.94676,0.39261
4.24258,0.8927
6.6318,1.38641
4.04067,0.78097
6.84342,1.43717
4.5375,0.93259
5.25822,1.05432
7.08718,1.61123
5.27159,1.19692
4.38729,0.95301
4.89101,1.1859
3.55918,0.62011
5.66012,1.38487
3.63065,0.64675
7.08925,1.55569
3.11852,0.56778
4.26965,0.68486
2.75193,0.55774
5.26137,0.95759
4.44633,0.82508
5.67027,1.24143
6.98592,1.46652
4.83956,0.97503
2.86473,0.71379
3.49275,0.84163
7.41602,1.30765
4.07253,0.91624
4.53942,1.05956
5.48476,1.22591
7.13484,1.61784
4.8877,0.96249
4.90984,1.22033
1.91974,0.39486
2.95402,0.63278
2.59374,0.53804
6.81833,1.4283
3.5705,0.80375
4.61952,0.88545
7.8266,1.653
3.53308,0.78724
1.84148,0.41606
2.0796,0.4692
4.10665,0.70159
3.93966,1.00592
3.1428,0.54711
3.33663,0.55102
5.61183,1.33628
3.06658,0.55705
4.86376,1.22651
3.03682,0.59811
4.11691,0.68341
3.58722,0.64616
6.74826,1.3113
2.84142,0.62336
4.63172,0.78429
2.95396,0.5709
5.39453,1.25971
5.2686,1.06172
4.18182,0.9321
6.47147,1.45652
6.03655,1.3199
5.84462,1.26508
4.88779,1.01362
3.88232,0.83026
5.14723,1.01258
6.62834,1.57574
4.85396,0.88336
5.0986,1.35444
3.87347,0.66967
4.00276,0.79384
4.52806,0.77749
4.62032,0.9507
4.96783,1.05199
5.58779,0.98227
2.88999,0.70732
3.89953,0.82504
4.96338,1.24568
2.20464,0.3923
2.83787,0.54485
3.65249,1.00837
2.12703,0.40361
9.29516,2.25838
3.46087,0.65399
6.16722,1.1664
6.88029,1.26379
4.37161,1.02578
5.61767,1.21071
5.19344,0.98675
3.76004,0.79838
3.55621,0.85576
4.99255,0.96777
6.55483,1.37262
4.38146,0.89055
6.39589,1.33338
4.15843,0.82424
4.21464,0.88947
2.65208,0.42952
4.71314,0.89591
5.9219,1.35269
3.97566,0.77109
3.68229,0.74602
5.14872,1.09015
5.85438,1.32086
5.18443,0.84638
4.63643,1.2205
8.10466,1.56539
2.81409,0.70644
5.12225,1.03595
3.94876,0.80871
5.82267,1.19816
3.73541,0.70257
4.49368,0.95039
5.22913,1.09572
3.8597,0.75272
2.97534,0.60865
9.419,2.01657
2.28534,0.51656
3.26112,0.77153
6.43851,1.4405
6.09171,1.13896
3.70302,0.69995
7.444,1.5133
2.83315,0.63239
6.13121,1.35358
5.74596,0.95121
5.18936,1.21453
4.26225,0.80702
6.00625,1.3096
4.08374,0.80778
5.30701,1.0284
4.31506,0.88096
4.63811,1.12467
8.83194,2.00878
3.70024,0.78015
7.31982,1.59106
4.08127,0.74692
4.45185,0.95534
7.29235,1.39066
3.55103,0.82236
7.47017,1.47717
4.94937,1.06157
4.04548,0.83406
3.7659,0.70531
8.77718,1.89094
4.73454,1.02429
4.87629,1.10375
3.69577,0.74432
5.21662,1.20274
2.76057,0.48766
6.13453,1.40941
7.63649,1.72149
2.88271,0.48946
4.53961,1.10164
5.85076,1.03974
5.24145,1.27123
4.16234,0.76806
5.84839,1.31895
4.03853,0.83252
3.70323,0.9412
4.08611,0.82987
2.83383,0.5819
5.8847,1.40592
2.28786,0.39588
3.21879,0.51246
2.4724,0.4435
3.98257,0.75564
5.78511,1.21769
4.79214,0.95886
4.44797,1.01179
3.03089,0.58892
3.63935,0.92981
2.55964,0.52264
6.20422,1.34696
2.93403,0.62346
6.16033,1.22714
3.96069,0.85277
5.77453,1.24061
5.30438,1.07337
1.88013,0.41016
5.06,1.01909
5.19563,0.94165
5.37344,1.19785
5.09968,1.14594
4.33876,0.92235
3.93478,0.85088
3.23795,0.85441
2.66799,0.48448
1.53604,0.42779
8.92536,1.76153
2.64785,0.64848
4.52241,0.92228
4.80754,0.94206
6.19922,1.42956
6.01856,1.16596
5.53552,1.20868
5.8614,1.37255
2.60374,0.52639
6.31097,1.40371
4.4622,0.91908
4.11033,0.8606
6.12379,1.31823
5.64701,1.3509
3.85866,0.63994
3.17306,0.64922
8.20139,1.51802
2.81663,0.65666
2.46309,0.54447
3.63005,0.80487
2.70586,0.48685
3.8164,0.73665
4.5627,0.98927
5.99892,1.35287
4.32221,0.81331
3.9634,0.73588
3.68687,0.85578
5.17027,1.02275
3.48228,0.71512
3.83841,0.76413
7.14628,1.51644
3.41939,0.73614
3.7545,0.82046
5.8639,1.3338
4.72415,0.95162
8.20745,1.60893
4.77805,1.06493
1.86688,0.38862
