param1,param2
1.40411,0.41783
1.32667,0.51555
1.0949,0.64586
1.25849,0.55056
1.19629,0.53675
1.4311,0.47261
1.52696,0.37671
1.17614,0.50172
1.4631,0.32343
1.37348,0.39456
1.38866,0.45348
1.43466,0.44345
1.48482,0.3983
1.31096,0.5231
1.62153,0.49131
1.2623,0.70426
1.44471,0.49559
1.36751,0.37422
1.3716,0.64215
1.21146,0.4386
1.64186,0.43871
1.5484,0.62859
1.26586,0.45861
1.50134,0.50547
1.16043,0.45947
1.41793,0.53763
1.58293,0.44347
1.58248,0.4513
1.50791,0.51569
1.54845,0.43345
1.36098,0.41026
1.44155,0.41995
1.46404,0.4708
1.21105,0.38073
1.5692,0.47207
1.25541,0.41028
1.40146,0.43412
1.42974,0.44585
1.51721,0.46388
1.32727,0.53697
1.44548,0.4068
1.42656,0.45909
1.46398,0.4331
1.30387,0.49405
1.37108,0.48266
1.58147,0.49366
1.35667,0.40292
1.4981,0.41629
1.13647,0.5004
1.49874,0.33361
1.52278,0.34566
1.14143,0.54321
1.41877,0.41004
1.33903,0.4502
1.41883,0.47508
1.43827,0.41326
1.48643,0.47744
1.31916,0.3646
1.40111,0.42325
1.56624,0.46854
1.26014,0.35549
1.52817,0.51816
1.47931,0.60714
1.50227,0.39416
1.57268,0.48204
1.2347,0.5172
1.39925,0.45265
1.33636,0.48633
1.48478,0.39925
1.35282,0.38282
1.43419,0.39099
1.41734,0.44579
1.46944,0.36432
1.35152,0.38346
1.41189,0.48348
1.47941,0.41613
1.40065,0.60484
1.48779,0.40175
1.34844,0.36105
1.38182,0.43732
1.4751,0.4132
1.37889,0.38716
1.37725,0.41506
1.37282,0.44844
1.24862,0.48567
1.30071,0.40624
1.41661,0.46176
1.39676,0.54714
1.28201,0.44252
1.42929,0.42055
1.43569,0.42685
1.36501,0.36557
1.64171,0.45017
1.36363,0.63097
1.32126,0.35554
1.33463,0.43444
1.48402,0.34852
1.51999,0.51544
1.43524,0.524
1.3023,0.4483
1.39289,0.51077
1.40482,0.35982
1.34372,0.47072
1.37607,0.53944
1.44679,0.61694
1.52422,0.49437
1.48874,0.54178
1.31419,0.33672
1.30675,0.46599
1.34622,0.45707
1.28265,0.59086
1.56633,0.44636
1.32915,0.55029
1.24301,0.58531
1.56037,0.34824
1.2071,0.57994
1.34067,0.50614
1.46067,0.40986
1.49183,0.54037
1.25375,0.44626
1.39908,0.60569
1.19897,0.67804
1.1429,0.51755
1.5877,0.60758
1.46672,0.41592
1.30369,0.49366
1.49425,0.35065
1.4547,0.44635
1.49083,0.40515
1.48034,0.31993
1.37324,0.50403
1.34797,0.61036
1.52372,0.41411
1.48906,0.44862
1.16178,0.53428
1.47315,0.36408
1.44798,0.46423
1.36806,0.41139
1.52929,0.3797
1.36274,0.44329
1.36242,0.45893
1.34728,0.48728
1.45496,0.42071
1.54381,0.48858
1.33109,0.50166
1.52456,0.41878
1.50196,0.46693
1.51997,0.47552
1.25152,0.37434
1.42268,0.4509
1.26877,0.48665
1.58426,0.49272
1.35331,0.4431
1.39549,0.45004
1.37903,0.40631
1.17169,0.38548
1.50037,0.61691
1.56201,0.58127
1.14327,0.41008
1.55746,0.62975
1.48119,0.49391
1.35301,0.43912
1.38672,0.44142
1.41315,0.40368
1.42242,0.46556
1.39363,0.42229
1.39865,0.47667
1.42986,0.38294
1.36816,0.49884
1.18794,0.6174
1.60184,0.48237
1.4623,0.38239
1.25499,0.55434
1.44075,0.30617
1.40598,0.64217
1.65532,0.46174
1.47803,0.72525
1.71726,0.50228
1.29712,0.95094
1.31368,0.66936
0.98226,0.61496
1.32285,0.522
1.36214,0.52135
1.41884,0.4221
1.43055,0.41442
1.38759,0.35292
1.39316,0.48612
1.29035,0.45322
1.57533,0.51454
1.36852,0.48409
1.43268,0.47432
1.26865,0.56513
1.6059,0.36837
1.47313,0.4816
1.34265,0.35742
1.27479,0.37932
1.31013,0.38014
1.29856,0.3859
1.34861,0.40086
1.20164,0.52865
1.57974,0.38827
1.38638,0.3469
1.31875,0.50096
1.40805,0.36938
1.4183,0.4604
1.49032,0.56337
1.47306,0.63623
1.51093,0.65719
1.5147,0.5181
1.3628,0.4458
1.43725,0.4413
1.61097,0.40779
1.30909,0.36176
1.16987,0.51232
1.65094,0.41233
1.0745,0.45463
1.25829,0.40679
1.37017,0.48521
1.32442,0.4462
1.4987,0.41346
1.33282,0.46268
1.19802,0.34891
1.59906,0.47903
1.18048,0.44745
1.5333,0.48905
1.42383,0.54279
1.38159,0.39194
1.2486,0.43039
1.52312,0.48319
1.4005,0.50463
1.28627,0.42234
1.45954,0.46457
1.42758,0.42269
1.35917,0.40437
1.30652,0.44169
1.24421,0.54442
1.34937,0.48037
1.29416,0.52536
1.60449,0.30756
1.08362,0.58765
1.12326,0.43037
1.4959,0.61265
1.31474,0.3839
1.41907,0.35062
1.4095,0.48292
1.29032,0.4309
