param1,param2
1.28742,0.43838
1.53789,0.47305
1.3197,0.47305
1.35297,0.56557
1.55604,0.46262
1.31262,0.65966
1.39609,0.52328
1.43323,0.6549
1.25263,0.38271
1.38704,0.45892
1.41891,0.50201
1.57336,0.37452
1.2296,0.43721
1.38074,0.30933
1.11396,0.51062
1.24837,0.42556
1.25478,0.47071
1.63848,0.41061
1.46503,0.42179
1.6016,0.35755
1.38717,0.45334
1.34857,0.45442
1.34275,0.42405
1.7464,0.5301
1.34833,0.40357
1.3634,0.39479
1.57955,0.41857
1.45121,0.58232
1.39728,0.33493
1.61356,0.5736
1.46279,0.57808
1.46677,0.58077
1.55004,0.41121
1.39053,0.30881
1.22404,0.57579
1.52098,0.31957
1.15343,0.68576
1.21363,0.66829
1.52823,0.31013
1.27362,0.59517
1.45511,0.35497
1.15265,0.57597
1.38707,0.46108
1.49559,0.43899
1.32465,0.40448
1.50056,0.58541
1.34172,0.43275
1.55823,0.42576
1.21886,0.44287
1.30446,0.45427
1.40785,0.4864
1.43578,0.46281
1.44791,0.46435
1.26119,0.47475
1.53107,0.52239
1.27274,0.39298
1.34683,0.42912
1.49199,0.40977
1.19481,0.53498
1.48943,0.48549
1.59339,0.43138
1.38828,0.54679
1.23175,0.40062
1.18189,0.40228
1.18788,0.39038
1.41353,0.51071
1.25451,0.52401
1.29095,0.45282
1.46414,0.38588
1.30198,0.42153
1.49679,0.46192
1.47298,0.47272
1.24803,0.36363
1.58012,0.45443
1.33271,0.55798
1.44846,0.30818
1.41747,0.43335
1.38331,0.59204
1.29601,0.72952
1.26011,0.59493
1.43594,0.47666
1.29861,0.49472
1.32628,0.45715
1.36016,0.36508
1.58535,0.40466
1.53322,0.41553
1.41972,0.61368
1.38251,0.52585
1.21945,0.45129
1.55239,0.46651
1.3324,0.33715
1.59359,0.4645
1.46331,0.51398
1.34878,0.35716
1.41516,0.55386
1.39998,0.57097
1.46243,0.62108
1.4701,0.58211
1.55916,0.52724
1.54713,0.50688
1.3835,0.41277
1.46395,0.445
1.2395,0.45156
1.28539,0.42998
1.22292,0.59525
1.50276,0.41367
1.45212,0.35838
1.34601,0.51632
1.43815,0.39098
1.42878,0.38558
1.45569,0.41407
1.44159,0.39882
1.49649,0.45339
1.32213,0.42141
1.49121,0.38948
1.40094,0.44064
1.2801,0.38597
1.53356,0.41242
1.36443,0.52252
1.47129,0.43483
1.28059,0.48015
1.49073,0.52024
1.39682,0.49214
1.23038,0.61116
1.58161,0.45978
1.37165,0.68284
1.68951,0.50187
1.44618,0.82273
1.72469,0.53219
1.35986,0.7311
1.6322,0.57111
1.30287,0.31496
1.36275,0.59718
1.46856,0.42309
1.4244,0.47562
1.32127,0.64354
1.4944,0.39132
1.41269,0.4546
1.42925,0.44236
1.41734,0.36936
