param1,param2
1.69699,5.17528
1.82765,5.66095
2.7429,6.22582
2.40449,5.40567
2.1097,5.98059
2.49582,4.7918
2.30553,5.45768
2.30128,4.69636
2.09938,5.4924
2.74423,5.19435
2.11921,5.90998
2.13494,5.89266
2.11239,5.60642
2.01939,4.80292
2.25829,5.67621
2.35157,5.32639
1.99127,4.64959
2.30927,4.64526
2.72738,6.21499
2.69558,5.89041
2.27744,5.40256
2.50475,5.56771
2.13029,5.18221
2.57663,4.61028
2.4428,5.50045
2.42283,4.42194
2.12373,6.31784
1.94616,4.45679
2.17819,4.80443
2.30567,4.68267
2.1728,4.40323
2.09757,4.45977
2.97742,6.6289
1.97767,4.71688
3.28206,5.91115
2.22574,5.3897
2.22951,5.18656
2.47439,5.35248
2.44576,5.68501
2.02905,4.49832
1.71191,4.10106
3.09572,6.20457
2.58321,6.45406
1.84669,4.85027
2.02646,5.5968
2.314,4.99417
1.54642,4.98651
2.47604,4.83789
3.02175,7.05074
1.94957,5.24628
2.37312,5.11542
2.58489,5.58772
2.3362,5.51569
2.12152,6.64655
2.23036,4.90891
3.08167,5.15045
2.58114,5.76136
1.99804,4.72196
2.4595,5.65014
2.23111,4.72451
2.15459,4.58237
2.29107,6.52928
2.82065,4.96062
2.3101,5.03097
2.01815,5.34323
2.309,5.12795
1.89979,4.86819
2.03556,4.44895
2.4777,5.02135
2.38976,5.27465
2.18083,5.05924
1.63564,4.55548
2.21626,5.13651
1.88155,5.73616
2.14987,5.22666
2.23639,6.15039
2.24396,6.35119
2.43572,6.32547
2.68286,5.74793
2.73549,6.15874
2.08094,5.40366
2.67583,6.28393
2.72905,5.06707
1.98656,5.40519
1.70697,5.66079
2.07079,5.525
2.14785,5.03462
3.03725,5.63086
1.90338,4.98946
2.04346,4.64224
1.81917,5.05144
3.24029,5.35582
2.02454,5.20357
3.07696,5.55547
2.23472,4.70964
2.35255,4.46849
2.2585,6.03429
1.93207,5.86798
1.63524,5.78885
2.15343,6.03337
1.74657,5.41944
2.15793,6.09098
2.00176,4.0035
1.95484,5.85551
2.35261,6.32887
2.41429,4.69551
2.75133,5.3129
2.48105,5.9673
2.1895,4.63338
2.43752,4.92932
2.28443,6.10694
2.83367,5.62684
2.14313,4.5184
2.83884,6.28136
2.55879,5.02503
2.67587,5.77115
2.0689,4.81731
2.32509,4.95046
2.19328,4.96708
2.3806,5.34023
2.38457,5.46213
2.50058,4.58098
2.42639,6.47884
2.89706,5.60836
2.54606,5.49795
2.64922,5.63891
2.37834,4.55795
2.25158,4.09204
2.14735,7.42048
2.05004,4.45886
2.27293,5.17362
2.05527,6.08235
2.57499,4.89656
2.02338,5.38397
2.36401,5.66295
3.05957,5.3383
1.6607,5.48168
2.05382,4.98836
2.94826,5.87986
2.29991,5.04164
2.65087,6.31748
2.05686,5.93335
1.6362,5.3026
2.04972,4.53102
2.04144,5.60417
2.57466,6.13409
1.77258,6.24692
1.77082,6.45411
1.8708,5.81434
2.80096,4.89918
2.269,5.7126
3.84942,5.8345
2.47216,5.21511
1.63659,4.9396
1.50239,4.45243
1.75124,4.95475
2.84899,5.51687
2.44135,5.10646
2.77455,5.5694
2.37277,5.0293
2.47669,5.68962
1.9984,4.90479
2.54155,5.39803
3.03092,5.44686
2.03797,6.38141
2.20234,4.27882
1.49746,5.6193
2.96053,5.59236
2.03011,5.00596
1.88758,5.17685
2.2959,5.09964
1.67512,4.61759
1.60396,4.33824
1.80859,4.48039
2.10225,4.96131
2.16704,4.8525
2.21022,5.53447
3.0671,5.41813
1.59976,4.49133
2.7335,5.61288
2.36129,5.09347
2.23256,4.84589
1.82076,5.7666
2.02769,5.34104
1.97955,4.81308
1.7394,5.60671
1.79409,5.12623
2.0807,5.15443
2.26231,5.59067
2.41174,4.82772
2.89351,6.31824
2.83585,4.86433
2.55057,5.34897
2.11585,4.81352
1.77974,6.00745
2.31412,4.6421
1.59284,5.17543
1.35832,4.78109
3.09936,6.02539
2.60592,6.1091
2.29797,4.97513
1.81095,5.82246
2.52243,6.21205
2.87924,6.2354
2.56613,4.89381
2.11224,4.78446
2.76504,5.92331
2.24071,4.45058
1.65138,4.66451
2.49353,5.76155
1.46775,4.08961
2.56783,5.4593
1.81294,4.44966
2.38468,6.08132
2.23625,4.82074
2.09631,5.29439
2.63727,5.08742
1.33387,5.70896
2.4424,4.89204
1.69592,4.6201
2.32344,4.52491
2.40142,6.31285
2.21688,5.10575
1.7459,5.68421
1.96598,5.19255
2.71692,5.42949
2.66015,5.23959
2.59075,6.3113
2.43693,4.67375
2.44884,5.34314
2.22492,5.10964
2.14182,5.10736
2.66495,5.69045
3.04483,5.6018
2.23143,5.47037
1.97307,5.65335
2.88203,5.21877
2.37227,5.06754
2.10773,5.00558
1.70924,4.61208
2.33374,5.3688
2.61316,4.95437
2.12883,5.55456
2.19291,5.43962
2.4144,4.73185
2.17262,6.49293
1.72682,6.92352
1.29476,5.49012
3.03374,5.37732
1.99057,5.11924
2.39315,4.86321
2.4013,4.8341
2.46109,4.80075
1.94581,6.41804
2.28342,4.52743
1.94346,4.53513
1.61515,5.62697
2.66792,5.39998
1.99088,5.4741
2.39516,5.83453
2.05687,5.37571
2.79388,4.72569
1.95837,5.50992
2.11906,5.36747
2.45073,5.11213
2.314,5.97056
2.24199,5.72784
3.03042,6.01241
2.1917,4.89276
2.29734,5.34882
2.42392,5.04472
1.97975,4.94381
2.2268,5.65949
1.90771,5.91229
2.50988,4.67113
1.80398,5.47543
2.42981,5.28252
2.60996,6.11884
3.62071,5.67778
2.11166,6.20183
2.41638,4.70686
2.36927,4.67374
2.2727,5.12339
3.73344,5.70554
2.01758,5.59606
2.46543,5.9038
2.37704,4.96284
2.33996,5.17646
1.9661,5.43151
2.54843,4.73598
2.25869,6.24829
2.03588,5.42931
3.18056,5.36755
2.66917,5.54651
2.03606,5.61329
2.99887,5.67497
2.41641,5.1256
2.23532,4.6271
2.46666,5.61797
2.37089,5.29001
2.92703,5.00245
2.51761,5.56608
2.07703,5.03153
2.99167,5.70143
2.45828,6.08147
2.4859,4.61174
1.7398,4.72547
2.70731,6.08178
2.52462,5.96828
2.59756,5.14411
2.51193,5.06912
2.27717,5.40431
3.18993,5.49267
2.633,5.965
3.34004,6.22656
2.29782,5.81192
2.46678,5.01625
2.20229,5.81081
1.80519,4.84003
2.36222,4.83888
2.74151,5.46978
2.7139,5.56223
2.14013,5.60838
3.17927,5.43937
2.80004,5.84949
2.42987,5.19041
2.82411,5.89871
2.24013,4.96104
1.63309,4.18707
1.77314,3.88937
1.75913,3.78618
1.70674,4.43985
2.66904,5.55793
2.59992,5.60541
2.94765,6.0777
2.29658,5.38991
1.91781,5.70376
2.42025,5.32013
2.43943,5.33234
2.84177,5.62117
3.09761,5.7771
1.89242,5.35839
2.18911,5.34502
2.09069,5.65779
2.63027,4.77427
1.88255,4.9663
2.41883,5.22875
2.70678,5.41814
2.21732,6.33015
2.49906,4.89762
2.12062,5.44169
3.07137,5.1315
1.91683,5.2158
3.44926,5.94071
1.75003,5.00786
2.36807,6.8607
1.93456,5.66475
2.89664,5.09006
1.71295,5.51829
3.83157,5.94739
1.49705,5.13423
2.46392,4.56778
2.27462,4.22718
1.65748,4.64103
1.56045,4.93421
1.97443,3.60043
1.75975,4.1647
2.06047,5.83759
2.10542,4.31056
2.17189,4.75446
1.99231,5.62144
1.83934,6.2097
2.1807,4.54912
1.98602,5.53066
