param1,param2
2.46457,6.21454
2.51428,5.32338
2.54659,5.60707
2.30052,5.29886
2.36362,5.08751
2.22539,5.67805
1.95743,4.59155
2.86877,6.89222
1.8271,3.99227
1.83054,5.34754
2.36316,4.80274
2.56504,5.33385
2.25275,5.07019
2.15803,6.28871
1.94143,7.39764
1.61548,6.42708
1.94774,5.38811
2.53943,4.73852
2.52335,5.66198
2.79712,5.97584
2.48139,6.68887
2.19114,6.41794
2.18676,4.36408
2.15898,4.48161
2.05074,4.68239
2.37494,5.60663
2.31421,5.13559
2.61172,5.52737
1.84553,4.90366
2.44103,5.2153
2.7291,5.47096
2.50822,5.44883
2.66478,5.69338
3.11458,5.06183
2.03458,5.23396
2.32338,5.98246
2.36014,5.25068
2.48113,5.9034
2.42812,5.55183
2.03621,5.65956
2.20238,5.30171
2.76014,5.88962
2.80527,5.44175
1.78676,5.47831
3.57357,6.01089
3.20991,5.62068
2.09901,4.73055
2.11168,5.5147
2.55912,5.2261
2.26602,6.03378
2.9148,5.27902
2.99043,5.70041
2.38352,5.92946
2.45953,6.50013
1.73155,5.84989
2.46138,6.32832
2.56927,4.97334
2.34273,5.64136
1.85418,4.80114
2.84749,5.0912
2.70797,5.2032
1.64431,6.62412
3.66658,4.98526
1.67128,6.37811
1.67011,6.86107
2.23271,6.16266
2.69627,5.18915
2.47278,5.37231
2.43264,5.41171
2.29073,5.4935
2.03958,5.94738
1.76287,6.20915
1.87873,5.2296
1.40429,4.8119
1.43955,3.88744
2.94454,6.59632
1.58756,4.6488
1.98597,6.04206
1.91128,6.57552
2.66341,4.806
1.92139,5.89285
2.17778,4.6408
2.35604,6.68535
1.68684,4.18059
2.77771,6.60925
1.46917,4.97331
2.09541,5.55007
2.0864,5.53327
2.28372,5.80317
2.34553,4.87268
2.20938,5.91639
2.75206,5.0611
2.07015,5.15753
2.6689,5.64151
1.9027,5.28291
2.76589,5.23104
2.1146,5.61094
2.29254,4.97907
2.49703,5.53019
2.15807,6.30444
2.06375,5.22804
2.9021,5.15804
1.74621,6.08667
2.23954,5.3631
2.17528,5.46542
2.40315,6.73235
2.22425,5.29184
2.87072,5.48532
1.90704,5.30256
2.30816,5.18183
2.22221,5.34916
2.16422,4.88176
2.45014,5.50257
2.86633,4.89287
2.02503,6.2563
2.22475,5.0804
2.80429,5.77569
2.39739,4.96756
2.7847,5.98263
2.02115,5.10284
2.09791,5.53663
2.70885,5.12623
2.57959,5.7298
2.63022,5.38276
1.98385,4.89102
2.14193,4.78488
2.39524,5.96817
2.26275,5.21978
1.9677,6.57998
1.7697,5.01485
2.23526,6.68654
1.77894,4.91811
1.95139,6.66815
3.14839,6.0014
1.6817,4.27668
2.12809,6.58095
1.70438,5.83334
1.95249,4.72106
3.33733,5.68939
2.51975,5.89439
2.53177,5.1013
2.58991,5.78173
1.76794,4.3494
2.07777,7.57248
2.35456,4.22584
1.59549,5.49885
3.24062,5.38857
3.13167,5.93325
1.67304,4.60303
2.0471,4.70011
2.58435,6.11004
1.87146,5.00896
2.12398,4.53143
2.50726,5.55044
2.31889,5.6952
1.6556,6.62861
2.32196,5.74253
2.21457,5.56657
2.5959,5.35494
3.28298,6.04183
2.74982,5.21639
2.0544,5.17051
2.42891,5.92716
2.19093,6.04076
2.46945,4.77928
2.06715,5.43852
1.8463,5.67017
2.59445,4.66869
2.39106,6.02946
2.41283,5.09241
2.54311,6.66013
1.74278,4.64403
2.50006,5.63153
2.19974,5.42324
1.98113,5.54686
2.1396,5.0971
2.6817,5.71611
1.77455,4.58581
2.84056,6.17269
2.48315,5.1337
2.13026,5.62623
2.17595,5.57926
2.35048,5.15369
2.18079,5.2574
1.46728,4.05496
2.65232,8.23058
1.40384,3.62759
2.86696,5.89816
1.9697,5.80955
2.79078,5.27988
2.45774,5.01615
2.56219,6.05757
2.24127,6.55876
2.45145,4.80271
2.63069,5.47138
1.91103,5.79972
2.14633,4.81895
2.29457,7.00756
1.88737,6.09679
1.95699,6.82677
1.8803,5.1716
2.22918,4.5738
1.7235,6.9158
2.87301,5.61513
2.98413,5.73377
2.55504,5.49234
2.29917,5.24603
2.14393,4.80774
2.75253,5.62533
1.97646,4.47172
2.06345,5.56343
2.48595,5.55084
2.59121,5.47748
2.13377,5.30408
3.11271,5.75211
1.74786,4.92054
2.97183,6.63003
2.27619,5.31954
2.40285,6.49097
2.59319,5.30585
2.38097,5.56614
2.3302,4.87115
2.47515,5.49714
2.17747,4.69583
3.16221,6.03283
1.67986,4.19006
2.31511,5.30927
2.5499,5.01263
2.34508,5.384
2.71717,5.21155
2.25434,4.51035
2.64369,5.22669
2.28639,6.38384
2.70743,5.89588
2.18488,6.26084
1.68999,4.90897
2.65018,6.33214
2.14157,6.57561
2.23602,5.36792
2.1238,5.03329
1.96642,4.81432
2.18317,5.09769
2.68813,5.89092
1.79581,5.0425
2.71241,5.38979
2.34097,5.1015
2.61602,5.27576
2.53444,5.55956
2.7026,4.90342
1.7745,6.18487
3.06151,4.9955
2.55974,5.67727
2.03207,4.39978
2.41624,5.52353
3.07285,5.4993
2.4781,4.92893
2.13209,4.95809
2.26652,6.07467
1.87633,5.81113
2.34238,6.01825
2.40264,4.99089
1.84349,5.10102
2.41719,5.92057
1.83807,7.17376
2.27938,5.86779
2.48075,5.15671
2.91144,5.94875
2.00534,5.02364
1.71642,5.32686
2.8226,5.86654
1.68432,5.2868
3.08907,5.51775
2.18168,5.37721
2.41411,5.70472
2.17445,4.66428
2.20519,5.84466
2.32307,5.63421
2.61512,5.20384
2.22084,5.66111
2.22175,5.50393
1.95684,4.81428
3.15751,6.0364
2.3975,5.55403
2.29983,4.77692
1.97324,5.78595
2.45513,4.85475
1.85503,4.46669
2.99148,5.74163
2.14751,5.04853
1.65451,5.552
2.40125,6.07026
2.33725,5.42072
2.30552,5.44904
2.49166,6.469
2.7965,5.43101
2.33689,5.35401
2.65532,5.58612
2.70749,5.04942
2.33106,5.39692
1.74911,5.0355
3.20613,5.72672
2.705,5.5883
2.68543,5.03299
1.522,5.99973
2.23472,6.44246
1.77003,5.02201
2.7172,6.2254
2.03843,5.00914
2.43945,5.76441
2.5608,5.01679
1.58511,4.9562
3.18432,5.49955
2.35575,5.80025
2.83348,6.31193
1.78005,4.4511
3.31478,5.87464
1.99986,4.56416
2.33283,6.49164
1.80519,4.74739
2.36773,6.95124
1.76241,4.9681
3.37312,6.01176
1.67142,4.19266
2.99721,6.16101
1.97564,4.30344
2.93407,6.4322
2.5511,4.86714
2.29956,7.1835
2.01118,6.66863
2.41025,4.61317
1.88376,6.36477
1.82197,5.57266
2.13243,6.02093
2.15325,5.17495
2.47713,5.72824
2.55295,5.2048
1.9874,5.30828
2.8077,5.2393
2.03146,5.52869
3.18089,6.01173
1.77727,4.82872
2.4351,4.95055
3.11977,6.46741
1.73726,4.24927
1.59369,4.4234
1.74741,5.17196
1.67903,5.31648
2.07367,5.44365
