param1,param2
2.8955,0.58173
3.07513,0.70442
3.10209,0.59447
3.90061,0.83719
3.99365,0.99251
3.46698,0.67724
4.31387,0.90683
3.86325,0.77801
4.13153,0.8251
2.50584,0.52962
3.67741,0.72915
2.99807,0.73871
1.76103,0.36459
3.31095,0.80761
4.01352,0.84412
2.63023,0.57253
3.51173,0.7106
3.77033,0.86123
3.63191,0.84538
2.90663,0.60392
4.32729,0.896
2.40622,0.47596
2.75617,0.47343
2.46748,0.57
4.13082,1.00592
3.65823,0.58702
2.46392,0.45671
3.22344,0.79169
2.98028,0.59259
3.7965,0.85248
2.44542,0.41826
3.0811,0.96726
3.01888,0.63547
3.53156,0.79035
3.75615,0.82717
3.85845,0.87538
2.72346,0.5201
3.06328,0.6331
3.59519,0.86585
2.74469,0.52744
4.36114,0.98612
3.62289,0.75317
2.96173,0.64682
3.5559,0.75606
3.69893,0.7986
3.0273,0.61964
4.8986,1.06791
2.67231,0.61067
3.49925,0.74923
3.48313,0.61605
3.24747,0.64685
3.44908,0.68856
3.31423,0.67424
3.07881,0.70012
3.77449,0.76985
3.02604,0.63101
4.34758,0.93353
3.19269,0.69862
4.45774,1.04674
2.99516,0.68417
2.8825,0.57442
3.21119,0.67327
3.41502,0.68683
4.08808,0.83893
3.89671,0.8839
2.61466,0.52266
4.30655,0.94008
4.04161,0.79133
2.85067,0.64073
2.98197,0.66205
4.28165,1.00226
2.47967,0.46983
3.99291,0.95554
2.92707,0.59687
3.73924,0.78192
2.76085,0.64762
2.61071,0.58189
2.76034,0.63209
3.40137,0.6537
4.9055,1.04772
2.96888,0.68099
2.598,0.56122
3.26603,0.64994
6.53446,1.38182
3.28231,0.83161
2.37002,0.44756
3.43813,0.83148
3.482,0.65675
2.85345,0.57734
4.18249,0.83363
3.15369,0.69878
2.98914,0.4907
4.10392,0.8828
3.89163,0.85893
2.04213,0.51018
4.46278,0.79749
4.84391,1.06883
2.2001,0.42401
2.84306,0.65318
1.97091,0.3823
4.55495,0.93922
5.63446,1.17157
2.42942,0.45691
3.06996,0.59387
6.18309,1.32654
3.2442,0.59126
5.03125,1.1422
2.67173,0.52673
3.52393,0.67044
2.31743,0.53926
3.73624,0.74204
2.87282,0.61002
3.13017,0.63919
2.74543,0.53014
3.57881,0.75219
2.4985,0.48828
2.16834,0.46863
4.29492,0.89513
2.48701,0.49825
2.94933,0.6714
3.35612,0.69531
3.2789,0.69904
3.45731,0.74391
3.57531,0.78304
4.03212,0.84739
2.9761,0.65868
4.95346,0.96506
3.67122,0.80573
2.88122,0.64011
2.88951,0.66357
4.63119,0.86871
3.41603,0.62404
3.5087,0.9775
1.77751,0.30704
4.11207,0.85843
3.22197,0.69302
4.32115,1.00075
3.22275,0.63694
3.22583,0.60144
3.38409,0.70335
3.21908,0.62666
3.58963,0.8574
3.29654,0.63835
3.54021,0.86389
2.71261,0.47668
2.89108,0.55028
2.93615,0.61991
4.49872,1.01511
2.86855,0.59342
4.01813,0.89054
2.66566,0.57927
4.15189,0.86307
5.48966,1.20043
2.62041,0.53738
5.66811,1.19897
4.83462,0.87399
2.62613,0.56783
4.57344,0.99507
2.46117,0.51082
3.80901,0.86532
2.6593,0.5185
1.86432,0.40769
4.27745,0.8956
3.34167,0.77319
4.04487,0.84863
2.16057,0.47664
4.52433,0.88099
4.37832,1.00704
4.08629,1.03868
2.03193,0.37317
5.05515,1.20145
3.75033,0.68939
2.01183,0.42634
3.73219,0.82973
3.30956,0.65429
3.05207,0.60069
3.36538,0.74969
3.60556,0.73539
3.30696,0.74512
2.29105,0.47845
4.66404,0.95799
3.27793,0.69975
2.91947,0.58341
4.03886,0.89546
3.16308,0.69892
4.2784,0.85178
4.09418,0.77047
3.45491,0.74754
2.9735,0.64563
3.53673,0.8278
1.7567,0.2735
2.56429,0.62482
3.42907,0.62097
3.05206,0.76798
3.29928,0.64281
2.2063,0.39937
2.26327,0.55127
5.26535,1.2262
2.05612,0.3805
3.92799,0.94635
3.21431,0.59392
4.27635,1.08704
2.09055,0.36982
3.91008,0.77712
2.59039,0.58813
3.24165,0.58527
3.08815,0.58937
2.06092,0.36333
3.509,0.69108
4.49027,0.97995
2.62083,0.58659
2.13777,0.46999
3.07917,0.66941
4.04813,0.82041
3.40863,0.90408
3.46534,0.64267
4.51197,0.98602
2.36552,0.46965
3.4038,0.59355
3.2857,0.70934
3.09208,0.57616
3.65597,0.6679
2.67184,0.54434
4.17858,0.87274
2.91168,0.56822
5.1318,1.24507
3.2335,0.66521
3.77752,0.8084
2.927,0.56227
2.167,0.37119
2.88046,0.6285
3.32577,0.7197
3.72422,0.81617
3.39933,0.83109
3.15162,0.61496
2.90278,0.57258
2.95793,0.69753
3.46304,0.70622
3.4054,0.74696
1.88592,0.34527
2.9604,0.62047
2.7954,0.59178
3.79289,0.87751
2.64094,0.54452
3.64104,0.83588
1.54033,0.38922
1.50248,0.32555
2.20937,0.56574
1.7196,0.38201
3.27005,0.70359
2.20106,0.50426
4.68212,0.91178
2.59717,0.63928
2.92899,0.56273
3.55214,0.84236
3.4769,0.70926
3.71327,0.7358
3.70471,0.71627
2.98307,0.67172
2.89306,0.48864
2.85279,0.4746
3.19337,0.82126
3.73333,0.86914
5.09375,1.10082
3.37126,0.65729
2.28518,0.42256
2.86406,0.64503
2.09951,0.49067
4.44457,0.78751
1.37263,0.22674
4.1818,0.78311
5.13883,1.10172
2.18184,0.43109
3.38116,0.73178
3.54829,0.69908
3.13672,0.72557
2.37198,0.57101
3.47492,0.79648
3.27428,0.69778
3.24091,0.67397
2.55446,0.56477
3.19839,0.69589
2.31313,0.53762
2.47518,0.48469
3.136,0.73374
4.18449,0.92712
4.21801,0.79522
3.24086,0.78464
3.70485,0.84498
3.83178,0.87517
3.67345,0.74525
2.71462,0.56722
3.05055,0.72468
4.83962,0.95618
3.86814,0.77948
3.50646,0.765
2.30929,0.46373
3.52521,0.83322
3.70526,0.80234
4.09672,0.9261
3.63821,0.85859
3.39855,0.60509
2.01231,0.46015
2.3299,0.55367
5.27424,1.12572
3.04426,0.58331
4.45863,0.93942
3.46795,0.64481
3.9391,0.81732
2.42023,0.51309
2.64736,0.56621
2.39529,0.49752
1.7033,0.44362
4.23655,0.74312
2.22627,0.43368
3.91712,0.94844
3.18577,0.63148
4.40969,0.91379
3.53951,0.7648
3.94088,0.82709
4.16499,0.87167
3.26932,0.65264
3.05735,0.63814
3.49419,0.72922
3.23851,0.61913
2.39024,0.51695
4.01189,0.84394
2.12918,0.37755
2.08224,0.37115
3.79988,0.94326
2.65011,0.56035
2.92692,0.58934
3.95858,0.96586
2.94812,0.55861
2.45654,0.64472
3.28526,0.62514
2.70811,0.57402
2.31585,0.43471
3.21533,0.53354
2.15628,0.54942
4.13418,0.87182
2.63441,0.56351
2.88595,0.66554
2.2597,0.40321
2.26173,0.51911
5.01708,0.9674
3.07791,0.70276
3.36578,0.59114
3.0848,0.79094
2.94567,0.49573
2.85046,0.74676
2.28829,0.45234
3.4009,0.76709
3.79216,0.87415
3.6091,0.74629
3.73339,0.78694
3.51824,0.73318
3.37854,0.65874
3.27638,0.77526
3.10625,0.51535
2.80849,0.48979
4.07366,0.98774
3.3045,0.77234
2.55535,0.53136
5.40738,1.10545
2.99933,0.64693
2.10301,0.45839
3.2409,0.73526
3.99559,0.82312
3.39042,0.71808
2.97562,0.56149
3.56428,0.79481
2.91046,0.59376
2.1387,0.56489
2.17301,0.44991
3.93642,0.95809
2.93215,0.61381
3.77511,0.89882
2.86941,0.53245
2.80576,0.60327
4.62549,1.06466
2.95334,0.61245
5.05356,1.12272
2.82019,0.59228
3.58127,0.76802
2.91045,0.47315
3.10866,0.82546
2.81197,0.48728
2.61525,0.48896
2.9082,0.55238
4.61946,0.87188
2.33128,0.47441
3.79487,0.7107
3.38315,0.72163
3.28171,0.68057
2.48569,0.49826
3.67373,0.8211
2.98179,0.6526
3.26388,0.62127
3.41228,0.62781
2.96546,0.75304
3.16579,0.7748
5.20154,1.20938
3.00093,0.68644
3.4246,0.72576
2.51405,0.59606
2.53981,0.51351
4.79223,1.02358
3.29577,0.65714
4.70465,0.98575
4.05636,0.95787
3.83807,0.87511
3.66284,0.8488
3.55278,0.69694
2.78577,0.55546
4.2585,0.96226
2.50876,0.53327
4.52258,0.88336
3.53865,0.82392
2.79591,0.61388
4.34515,0.98338
1.82952,0.36798
2.12484,0.38943
1.91824,0.29497
4.91825,1.25031
2.55442,0.64752
3.73177,0.93886
3.59146,0.85182
2.72471,0.53574
5.62791,1.23937
3.04064,0.55746
4.45249,1.02157
2.3929,0.46712
4.43807,0.97261
3.36668,0.79227
3.35109,0.79698
4.22705,0.82092
5.01862,1.03288
3.36593,0.73024
5.39721,1.08628
2.57836,0.56541
2.92882,0.54907
3.87685,0.89396
2.21815,0.44914
3.70219,0.75878
2.52162,0.52575
2.51122,0.61076
3.36071,0.89426
4.69794,0.8951
3.47698,0.71937
2.37757,0.3264
1.62518,0.27205
3.24934,0.52276
2.05947,0.42141
2.74805,0.68857
2.52094,0.64039
5.0694,0.94314
1.71275,0.41032
2.44216,0.57458
4.11101,0.78056
3.67778,0.88867
2.56854,0.4734
3.49743,0.81283
3.49821,0.66059
2.08279,0.52761
1.5557,0.30834
3.1339,0.59469
3.13774,0.58271
2.2494,0.39398
2.93921,0.69565
2.75969,0.55323
3.00853,0.72508
3.70296,0.71278
2.63668,0.54338
4.89516,0.95636
5.20332,1.02886
2.6041,0.58229
2.79959,0.60285
4.27789,0.9689
3.5062,0.83751
2.63407,0.51446
2.01477,0.4281
6.17846,1.25271
3.72289,0.71448
3.57813,0.78522
3.10174,0.61538
4.69184,1.1011
2.83943,0.68437
3.3866,0.81954
3.54349,0.69843
5.25484,0.97471
2.2979,0.51706
5.4603,1.1471
3.54523,0.69344
4.58375,0.97421
2.73665,0.55082
3.39471,0.63879
2.29279,0.44795
2.80693,0.60209
4.84816,1.04867
3.07843,0.73572
3.44003,0.78788
4.22113,0.95693
2.93654,0.58697
3.18453,0.77177
4.46078,0.93662
3.69032,0.73751
2.68539,0.64745
1.85416,0.35517
1.95346,0.35398
3.83432,0.75384
3.19182,0.68078
5.01667,1.09688
3.5703,0.71767
2.38941,0.44264
3.5233,0.77371
4.18068,0.73074
3.72315,0.86756
2.64791,0.51376
3.1994,0.6678
3.19236,0.68327
2.34132,0.39776
4.13093,1.02886
2.82012,0.53674
4.04897,0.88812
3.57369,0.7288
4.06974,0.90796
3.87361,0.84447
3.11134,0.75463
5.09076,1.04653
4.44806,0.88268
2.74449,0.61815
3.17462,0.67797
2.50863,0.50536
4.40266,0.9528
3.87421,0.77366
4.20534,0.81249
2.92653,0.47578
4.14577,1.0095
3.81938,0.74222
1.78005,0.33704
3.69414,0.57597
1.54661,0.29298
2.25832,0.56324
3.17692,0.77362
2.31177,0.4442
3.951,0.91355
4.29292,0.91958
3.61502,0.71973
2.16464,0.44465
3.13564,0.61935
2.76934,0.58601
3.26094,0.77705
3.90871,0.74509
4.75264,0.97356
4.16985,0.88839
3.58825,0.72267
2.93106,0.54542
3.63656,0.80039
3.9243,0.75942
3.7407,0.89012
4.53963,1.0556
2.53473,0.54684
4.85033,1.09549
2.0496,0.42369
3.38891,0.58388
3.86932,0.87606
2.41531,0.41601
2.88306,0.55837
4.25771,0.7942
4.68886,0.94833
2.2653,0.53051
4.99463,1.07551
3.11617,0.73642
3.8224,0.81329
2.98931,0.55109
1.81692,0.37773
2.1548,0.49389
4.11966,0.82141
3.70398,0.77128
4.47877,1.09012
3.71857,0.89637
3.93103,0.82324
3.06115,0.66771
2.41736,0.52866
2.62559,0.60538
4.59853,0.8909
2.32323,0.54904
3.40184,0.74481
4.4903,0.9222
2.09348,0.4108
2.62024,0.58973
3.09113,0.65333
2.54295,0.56495
5.47661,1.20661
2.16911,0.43329
3.78657,0.87222
3.68505,0.67492
2.7847,0.5795
2.42921,0.50946
3.25374,0.58676
3.40423,0.70895
3.35488,0.70557
2.5903,0.47726
3.05229,0.48818
3.69548,0.86799
4.3315,0.98946
2.42389,0.57047
2.37144,0.52062
3.13832,0.5866
2.95059,0.59916
2.1647,0.37885
2.01272,0.33268
3.06982,0.52863
4.57199,1.04582
3.1371,0.59278
3.00517,0.58872
3.58864,0.82497
3.2051,0.73446
4.86104,1.04135
2.94005,0.56431
2.79599,0.50682
3.45479,0.89031
3.68819,0.90583
3.24956,0.79832
2.39755,0.43932
3.26242,0.83158
3.56018,0.79542
4.12986,0.93269
2.7172,0.52605
2.8118,0.5947
4.54625,0.91883
1.81406,0.35084
3.78811,0.87716
1.75848,0.36174
3.12806,0.73634
2.3751,0.518
2.77601,0.61952
4.77459,0.94297
3.18914,0.77282
3.61862,0.82865
3.61736,0.67317
3.23461,0.75187
4.74603,0.96389
2.03481,0.45119
3.32065,0.58028
2.67007,0.4776
3.35978,0.59521
2.55908,0.47463
2.27083,0.40735
4.78407,1.15598
4.36843,1.07523
3.26933,0.68032
2.62763,0.52784
5.03976,1.09138
2.30988,0.5782
4.75004,0.8934
4.87331,0.96026
4.12532,0.93065
3.10444,0.69965
2.70239,0.62876
3.57595,0.70589
4.52583,1.07781
3.39075,0.75978
3.96519,0.74888
4.35414,0.90374
4.17301,0.89684
2.80822,0.65181
4.62885,0.86255
2.81229,0.58501
3.15967,0.68327
2.42703,0.49128
2.68828,0.60029
3.36491,0.57934
3.5712,0.82375
3.77016,0.66788
2.78332,0.60468
3.858,0.78946
2.47482,0.56432
4.0498,0.82465
4.63757,1.13443
2.97504,0.61446
5.01129,1.15463
2.83853,0.60158
2.87651,0.64692
1.97494,0.4483
5.8893,1.34438
3.32706,0.78978
1.79411,0.38105
2.52135,0.48505
3.95743,0.66128
3.10476,0.62787
3.12402,0.68311
3.12729,0.6638
3.70561,0.69441
3.58359,0.8437
3.43163,0.75995
3.69658,0.77651
2.72983,0.59536
4.13278,0.87722
3.45902,0.73371
2.9928,0.62937
4.41491,1.00994
3.62196,0.80316
3.70953,0.72301
3.61273,0.79423
2.46286,0.54059
3.56424,0.65814
2.57781,0.66794
2.93382,0.55855
4.1697,1.0766
2.61434,0.53219
3.02208,0.69267
1.64008,0.33277
3.01773,0.6385
2.68141,0.55709
5.26055,0.90422
1.74628,0.39289
5.90495,1.28088
2.24827,0.51673
3.94242,0.81872
3.82945,0.7929
4.50858,0.94677
2.04198,0.49216
4.26285,0.93103
3.05375,0.64271
2.63161,0.58449
3.07641,0.67641
4.20363,0.80424
2.07787,0.60577
1.11135,0.22327
2.11898,0.6244
1.50577,0.25924
4.09728,0.89823
3.24764,0.69778
3.31455,0.62893
3.72326,0.74918
2.76985,0.6
3.12495,0.48286
1.96577,0.40611
2.06788,0.5001
2.26208,0.55165
3.62097,0.76651
2.58831,0.56381
2.80637,0.50555
2.63214,0.52445
4.48922,0.9457
2.21458,0.4233
3.64083,0.91156
3.64628,0.75388
3.24633,0.64432
2.26456,0.38032
3.05417,0.6684
5.78603,1.2242
2.0164,0.43477
2.7162,0.47236
5.05802,1.25667
4.3034,1.06675
2.71986,0.62488
