param1,param2
2.25495,0.52769
3.59328,0.69414
3.54567,0.70648
4.00021,0.76378
2.90931,0.62789
4.35839,0.87627
3.24812,0.73287
1.1482,0.20599
2.65171,0.76006
1.93466,0.28438
1.37417,0.17897
1.9772,0.27308
1.42385,0.20824
2.65642,0.39469
3.03493,0.57512
4.12095,0.90284
4.06922,0.82858
3.6233,0.67547
4.45478,0.87981
3.32809,0.84856
4.43903,0.7947
2.46655,0.73891
4.35825,0.81009
1.43046,0.28408
3.8718,0.73845
5.67151,1.22298
4.17052,0.90727
3.63091,0.79402
6.05435,1.13911
3.0742,0.77967
3.74904,0.7518
2.25938,0.41813
2.56517,0.48442
2.90263,0.63001
2.4986,0.52612
3.91602,0.79717
2.24751,0.47232
3.05774,0.65442
4.88819,1.16027
2.97938,0.53847
4.45504,0.96673
3.38376,0.75172
2.49355,0.6461
5.5671,1.18678
3.03312,0.54864
2.38333,0.4316
3.28991,0.81966
2.1179,0.53275
4.26448,0.97041
2.40543,0.56266
1.75852,0.40321
1.72745,0.41205
4.36239,0.92462
1.7942,0.36227
2.8668,0.63974
3.60511,0.69709
3.63547,0.75261
2.57816,0.52827
3.37141,0.61139
3.15919,0.79464
2.61117,0.41961
3.30677,0.5188
1.56822,0.26591
2.76117,0.54488
2.04516,0.46511
4.01943,0.75036
2.32624,0.54653
4.23524,0.77894
3.06619,0.65909
2.47405,0.55346
2.98575,0.53094
2.41621,0.45027
2.67736,0.52527
3.2481,0.7036
1.76501,0.28786
2.9712,0.52092
4.92432,1.14067
2.75848,0.56956
3.44188,0.83785
4.35127,0.89504
2.57401,0.49969
2.42958,0.5094
2.30221,0.34661
4.52465,0.75431
1.81748,0.39909
4.1918,0.92816
3.89466,0.8933
4.09749,0.93832
3.40892,0.65418
2.43754,0.50275
3.36815,0.7636
2.8831,0.4356
2.14995,0.42185
2.21453,0.4113
3.17943,0.57687
4.27126,0.80686
3.53249,0.75403
4.23218,1.012
3.00253,0.7271
3.54285,0.65076
5.42903,1.21212
3.34265,0.79188
3.0073,0.7459
4.13004,0.85474
3.23025,0.67191
2.49133,0.40965
3.21071,0.63431
4.0626,0.8086
2.62152,0.55158
3.55093,0.63404
3.09236,0.5388
2.9675,0.53186
2.72956,0.50353
3.85369,0.89116
2.38114,0.5653
2.76272,0.67157
4.41614,0.88862
2.16705,0.54236
4.25746,0.90254
2.54626,0.51411
3.97154,0.82691
2.46325,0.42671
3.00509,0.57943
3.09749,0.64424
2.79573,0.5858
3.02267,0.55985
3.4852,0.69521
3.55789,0.68536
3.14651,0.59853
2.31234,0.46872
3.20858,0.66579
2.99159,0.54092
