param1,param2
1.32487,0.60064
1.5064,0.50229
1.46558,0.5207
1.30841,0.48809
1.23999,0.61191
1.25726,0.5329
1.27449,0.54874
1.47603,0.51624
1.33155,0.49399
1.40675,0.49954
1.34952,0.5694
1.39403,0.47724
1.26232,0.55268
1.25777,0.53624
1.3681,0.70655
1.45283,0.51772
1.37653,0.48854
1.38998,0.51328
1.22712,0.55877
1.1576,0.67958
1.43677,0.5415
1.34442,0.41503
1.31836,0.53176
1.23991,0.65706
1.26697,0.55978
1.13443,0.6819
1.46666,0.44657
1.34937,0.54039
1.4018,0.40436
1.4328,0.50734
1.46217,0.60299
1.47039,0.60036
1.08605,0.56821
1.35176,0.42546
1.29075,0.57281
1.35632,0.68076
1.42679,0.50582
1.41109,0.52413
1.25089,0.53455
1.15454,0.71065
1.15223,0.60313
1.32619,0.43008
1.62167,0.48939
1.37186,0.60334
1.39304,0.53253
1.39029,0.59294
1.27063,0.64419
1.35287,0.48096
1.16667,0.50139
1.30364,0.46091
1.48797,0.6069
1.3304,0.52454
1.2901,0.65729
1.50823,0.51431
1.18827,0.56349
1.39591,0.41937
1.1264,0.57683
1.31904,0.48171
1.333,0.55155
1.31574,0.59031
1.32976,0.54578
1.40615,0.46184
1.40182,0.55018
1.42352,0.55393
1.23619,0.46281
1.33578,0.48612
1.35146,0.55677
1.41053,0.44228
1.38798,0.46664
1.31293,0.62448
1.47405,0.54173
1.28699,0.48216
1.45069,0.62425
1.46464,0.62195
1.34655,0.54904
1.40441,0.58647
1.21307,0.5446
1.34952,0.50483
1.48069,0.48358
1.37958,0.6076
1.09332,0.68237
1.35517,0.6059
1.23945,0.49284
1.42519,0.57023
1.38428,0.46382
1.2412,0.52444
1.28875,0.57466
1.47309,0.5371
1.48697,0.54221
1.38358,0.50496
1.28265,0.47726
1.29937,0.72016
1.38933,0.62678
1.41364,0.48462
1.33234,0.60044
1.33711,0.51813
1.3279,0.55376
1.35622,0.5786
1.36963,0.52285
1.21235,0.54342
1.42871,0.55019
1.46658,0.59235
1.39817,0.47994
1.2957,0.59066
1.37172,0.58682
1.45663,0.49311
1.1095,0.561
1.35795,0.44569
1.42375,0.53116
1.37649,0.42469
1.40968,0.41926
1.35874,0.60414
1.41797,0.45737
1.42508,0.48455
1.46964,0.61654
1.50572,0.59488
1.4298,0.67056
1.3333,0.52343
1.34756,0.54239
1.31232,0.60972
1.10292,0.63641
1.31592,0.63307
1.48466,0.43259
1.26644,0.59667
1.38505,0.4388
1.55263,0.59979
1.29058,0.75483
1.09569,0.59328
1.24408,0.42672
1.25206,0.42967
1.18532,0.55113
1.37611,0.54643
1.15709,0.57451
1.3414,0.53621
1.31539,0.57296
1.29181,0.54434
1.51843,0.57775
1.48449,0.68608
1.56392,0.65449
1.37228,0.70586
1.45791,0.55463
1.16184,0.48513
1.27308,0.6115
1.27994,0.53187
1.57294,0.47039
1.10354,0.77566
1.31557,0.46947
1.45243,0.54888
1.27405,0.63996
1.2629,0.65286
1.30852,0.58697
1.36407,0.62574
1.32338,0.55331
1.39917,0.57278
1.5055,0.5225
1.42909,0.73706
1.62016,0.61935
1.33208,0.40728
1.51891,0.50344
1.33997,0.569
1.48917,0.47951
1.33889,0.56187
1.34602,0.46827
1.32649,0.49408
1.56113,0.49955
1.19547,0.639
1.29809,0.50288
1.1749,0.50556
1.33707,0.54927
1.25625,0.59994
1.26571,0.57993
1.3972,0.45714
1.32812,0.55064
1.45007,0.58337
1.49268,0.46571
1.20987,0.66235
1.45787,0.54289
1.45254,0.55099
1.40989,0.54416
1.26093,0.466
1.23671,0.51349
1.47488,0.59444
1.1959,0.62045
