param1,param2
1.75823,5.09445
2.29695,5.35248
1.72109,5.41742
2.39964,5.21928
1.75797,5.45906
1.97491,4.89904
1.91486,5.87243
2.04444,5.54368
1.84028,5.11175
1.91724,5.64803
2.2764,5.38997
1.70203,4.38523
2.0781,6.58062
1.45873,4.94943
1.85279,5.81995
2.13057,6.3346
1.95997,4.91347
2.11194,5.23635
2.32542,5.83847
1.84763,5.10367
1.76912,5.3646
1.85,5.96476
2.08674,4.80642
1.79949,5.84686
1.76901,4.62676
2.33118,5.82018
2.0519,5.16254
1.90005,5.51348
1.84215,5.06129
2.26188,5.63285
1.68968,5.69618
2.81509,5.50168
1.69443,5.67342
2.00829,5.84965
1.89508,5.19111
1.77406,4.9398
2.00909,5.35501
2.03736,5.57946
2.31509,5.68953
1.82278,5.14569
2.13781,4.87951
1.58678,5.81388
2.00375,6.29359
2.20455,5.25188
2.08426,5.84517
1.98408,4.90511
1.85677,6.24728
1.66057,5.59938
2.08802,5.34387
1.83558,5.24743
1.77636,5.81874
2.2554,5.16269
1.75279,5.64717
2.1424,5.39198
2.32058,5.04679
1.87514,4.70254
2.4159,6.93762
1.8936,4.5624
1.4589,4.5695
2.80709,5.94519
1.44969,4.46132
2.81254,5.69528
2.04176,5.17205
1.81217,5.54965
2.46377,6.01862
1.7008,4.87795
2.49056,5.74576
1.69008,4.98705
1.61162,5.01031
2.36779,6.40765
1.60774,5.46896
1.84812,5.36439
2.10333,4.69501
1.60994,5.51894
2.53079,5.11411
2.06545,5.46554
2.99133,6.38319
3.33532,6.57654
1.25861,4.13678
2.99358,6.13485
1.91121,4.79096
1.93792,5.29607
1.70728,4.99893
1.88149,5.45254
2.26874,4.87614
1.68014,6.25498
2.06302,5.47934
1.84116,5.12196
1.99168,5.53818
1.88412,5.30616
2.32078,5.46265
1.65671,4.60625
2.15283,6.10978
1.85687,4.6367
2.78994,7.00432
1.34585,3.76201
2.25494,6.75997
1.90803,4.48369
1.88813,6.78741
2.09047,4.69263
1.84085,5.87032
2.22546,5.76288
1.76374,4.58858
2.30888,5.93873
1.43167,4.95432
1.41952,4.46424
2.53796,5.89813
1.75391,5.02847
1.92531,5.59478
2.02538,5.59179
1.71856,4.6152
2.25099,4.78418
2.32656,5.50968
1.99643,5.28312
1.86095,5.47104
1.54446,5.26013
2.59926,6.03047
1.57639,4.70668
1.73028,4.51352
2.54083,6.64723
1.76014,4.41091
2.01009,6.23996
1.68781,5.47697
2.49551,5.47748
2.01818,5.7513
1.75118,5.56362
1.67718,4.95772
2.34961,5.03061
2.12086,5.24729
1.85943,5.04148
2.07718,5.38525
