param1,param2
1.86704,5.61613
1.79787,4.88631
1.91233,5.82334
2.03295,5.12345
2.25503,6.13427
1.78061,5.12069
2.03025,5.37537
2.35695,5.5473
1.53803,5.06336
2.6128,5.85597
1.49865,5.00625
2.2854,5.5177
1.88455,5.56402
2.06871,6.05233
1.98025,4.5591
1.59256,5.77601
2.47728,5.30593
1.75997,4.99544
1.82516,4.99127
1.75751,4.78792
2.27095,6.06544
2.46108,5.96304
1.59297,4.91313
2.39757,5.66612
1.49103,5.12918
2.45425,6.16773
1.39371,4.32604
2.78522,6.197
1.27418,4.67805
1.81494,5.34116
1.63464,5.52294
1.66548,5.48258
2.01589,5.01524
2.46859,6.67542
2.01437,5.27326
2.07913,5.10971
1.94129,6.9427
1.97768,4.10452
1.31494,5.63828
2.35324,5.174
1.65914,5.90252
2.45554,5.37076
1.48076,5.86581
1.87279,5.9145
1.69179,5.42055
1.81731,6.11962
1.89945,5.07943
1.96466,5.53374
2.02209,5.75728
1.64336,5.47059
1.72625,6.29421
1.71725,4.83595
2.64331,6.71516
1.35597,5.42368
2.74201,5.35712
1.92649,5.38377
2.5084,5.59158
2.16726,5.83167
1.93123,5.62384
1.61918,5.46704
1.56301,5.17754
1.72197,5.52373
2.14395,4.90882
1.73868,6.01766
1.79633,5.29015
1.98703,5.34616
2.04469,5.16304
1.99963,5.27652
1.86155,5.21263
1.78573,5.32658
2.03312,5.2522
1.71062,5.62546
1.89069,5.47818
1.75403,5.08902
2.14928,5.37229
1.9969,5.12492
1.57242,5.16564
1.99823,4.62047
2.14488,5.40008
1.97593,6.25169
1.85783,4.5898
1.89704,6.54083
1.50319,6.59811
1.84019,5.06051
2.05731,5.76141
1.78802,5.64104
1.82215,4.80236
2.50109,5.85147
1.66187,5.04437
2.31527,5.7212
1.58895,4.92068
2.47432,5.8139
1.93913,6.14194
1.61201,4.91991
2.04131,5.2338
1.97432,5.49336
2.63002,5.84958
1.33861,4.65076
2.193,6.38489
1.71334,5.16083
2.58421,5.71953
1.76337,5.26529
1.76866,4.51937
1.92848,4.98982
1.84598,5.77209
2.03324,4.99324
1.88748,5.27978
1.90056,5.96835
1.83469,4.65807
1.91221,5.86569
2.24273,4.82947
1.70703,6.08015
2.15361,4.69873
2.47675,6.03251
1.64472,4.41394
2.55215,6.58196
1.93745,7.19914
1.79312,3.98913
1.97018,5.03657
1.7482,6.2479
2.18251,4.94625
1.58649,6.36661
1.94906,5.24166
1.89557,5.36612
1.86568,5.02931
1.71221,4.65718
2.01332,6.04412
1.90245,5.77911
1.64617,4.89921
1.87589,4.59314
1.71403,6.13161
1.68758,5.05558
2.52673,6.16304
1.6934,4.64877
2.22619,6.21969
2.05741,4.84905
1.84295,6.25296
1.9749,4.70091
2.344,6.58196
1.41414,5.4668
2.51504,5.74357
1.83484,6.27627
2.40997,5.0774
1.64709,5.82329
